scientific_name,n
Agosia chrysogaster,1210
Campostoma anomalum,3618
Chrosomus erythrogaster,2116
Cottus bairdii,1175
Cottus caeruleomentum,726
Cottus carolinae,641
Cottus girardi,3870
Culaea inconstans,1647
Cyprinidae spp.,1015
Etheostoma exile,934
Etheostoma flabellare,621
Etheostoma radiosum,789
Etheostoma spectabile,4166
Fundulus notatus,1353
Gambusia affinis,3295
Hybognathus hankinsoni,509
Ichthyomyzon gagei,510
Lepomis cyanellus,1303
Lepomis macrochirus,2821
Lepomis sp.,607
Micropterus salmoides,675
Notropis baileyi,2908
Oncorhynchus clarki,1017
Oncorhynchus clarkii utah,504
Oncorhynchus mykiss,1464
Perca flavescens,699
Pimephales promelas,9646
Poecilia reticulata,2425
Rhinichthys atratulus,16809
Rhinichthys cataractae,1185
Salmo trutta,1548
Salmonidae sp.,1378
Salvelinus fontinalis,3514
Semotilus atromaculatus,3766
Thymallus arcticus,745
Umbra limi,670
Xiphophorus hellerii,1780
